제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,우리기준_대분류,우리기준_중분류,우리기준_소분류,출산양육_관련도,필터근거_키워드,분류근거_키워드,분류신뢰도
PROP-202432,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432,2026-07-21,2026,0.0,0,N,종로구,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432,정보·상담·교육·거버넌스,정보 통합·앱·플랫폼,출산양육 정보 통합 플랫폼,출산양육 후보,"양육, 양육지원",양육지원 서비스,중
PROP-202443,서울시 신혼부부 지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443,2026-07-21,2026,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-202418,임산부 스마트 배려 뱃지 도입 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418,2026-07-19,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 뱃지",상
PROP-202342,서울형 신혼주택,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202342,2026-07-07,2026,1.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202342,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,신혼,"신혼, 신혼주택, 주택",상
PROP-202234,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234,2026-06-23,2026,1.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,"키움센터, 초등학생","초등학생, 초등, 키움센터",상
PROP-202208,대중교통 임산부 배려석 뱃지 태그 시스템 도입,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208,2026-06-19,2026,28.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석, 뱃지",상
PROP-202191,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202191,2026-06-17,2026,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202191,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,아동,지역아동센터,중
PROP-202145,임산부 배려 뱃지 배포,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202145,2026-06-10,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202145,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 뱃지",상
PROP-202127,서울시 신혼부부 이자지원 사업,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202127,2026-06-08,2026,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202127,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-202116,유기동물 입양 활성화를 위한 청소년 참여형 홍보 프로젝트 및 지원 제도 마련 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202116,2026-06-07,2026,2.0,0,N,미상,취약·다양가족 사각지대,위기임산부,위기임산부 보호,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202116,취약·다양가족 사각지대,저소득·차상위·입양,저소득·입양가정 지원,출산양육 후보,입양,입양,중
PROP-202095,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202095,2026-06-04,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202095,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-202066,신생아 특례대출 기간 늘려주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202066,2026-05-27,2026,1.0,0,N,미상,출산·산후 초기지원,산후조리·도우미,산후조리·산모 회복 지원,출산 직후,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202066,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,신생아,신생아 특례대출,중
PROP-202036,"초등학생, 청소년 문화놀이 시설 확충",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202036,2026-05-22,2026,2.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202036,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,초등학생,"초등학생, 초등",상
PROP-202014,서울특별시 신혼부부  임차보증금 대출 사업,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202014,2026-05-18,2026,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202014,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 임차보증금",상
PROP-201851,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201851,2026-04-16,2026,2.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201851,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-201788,서울 시내버스 임산부/노약자 좌석 관련,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201788,2026-04-07,2026,6.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201788,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-201735,[시민규제발굴단] 서울지하철에 어린이 좌석을 만들어주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201735,2026-03-30,2026,7.0,3,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201735,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,출산양육 후보,어린이,"지하철, 어린이 좌석",상
PROP-201657,지하철 임산부석 이용 방식 개선에 대한 시민 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201657,2026-03-15,2026,2.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201657,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-201627,교통약자 배려 문화 정착을 위한 '임산부석 스마트 알림 시스템' 도입 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201627,2026-03-11,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201627,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-201601,임산부 배려석 태그 장치 도입,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201601,2026-03-06,2026,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201601,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-201599,서울형키즈카페 연령제한 형제자매 제한없이 들어갈수있게해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201599,2026-03-06,2026,1.0,0,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201599,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,출산양육 후보,키즈,키즈카페,중
PROP-201529,한부모 가정 자립 지원을 위한 통합형 + 주거연계 모델 도입 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201529,2026-02-19,2026,3.0,0,N,미상,일·가정 양립·부모 노동,경력단절·자립,경력단절 예방·일자리,부모 노동·돌봄 병행,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201529,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼부모 지원,출산양육 후보,한부모,한부모,중
PROP-201466,성인 대상 식비 지원 정책 (아동급식카드 벤치마킹),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201466,2026-02-05,2026,0.0,0,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201466,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,출산양육 후보,아동,급식,중
PROP-201457,초등학생 대상 분리수거 강좌 운영 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201457,2026-02-04,2026,1.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201457,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,초등학생,"초등학생, 초등",상
PROP-201435,？？ [정책 제안] 빛의 자녀(개척자)들을 위한 ‘자존감 및 사회화 통합 교육’ 신설,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201435,2026-01-30,2026,1.0,1,N,미상,정보·상담·교육·거버넌스,정보 통합·앱·플랫폼,정보 통합 플랫폼·앱,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201435,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,자녀,자녀,하
PROP-201374,버스 내 임산부석 자리 양보,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201374,2026-01-23,2026,6.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201374,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
PROP-201314,마장 한전물류센터 특별계획구역 내 “성동구립마장도서관 및 서울형키즈까페를 포함하는 복합문화시설” 설치 필요성 및 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201314,2026-01-19,2026,0.0,0,N,성동구,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201314,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,키즈,키즈,하
PROP-201207,"서울특별시 임산부 건강 지원사업(보건소, 산모 바우처 연계) 도입 제안",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201207,2026-01-12,2026,0.0,0,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201207,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부, 산모","임산부, 임산",상
PROP-201158,임산부좌석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201158,2026-01-05,2026,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201158,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-201045,[시민규제발굴단] 장애인 아이들을 위한 서울형키즈카페 혹은 시설내의 프로그램,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201045,2025-12-13,2025,2.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201045,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,출산양육 후보,"키즈, 아이들",키즈카페,중
PROP-201039,임산부 배려석 스마트 인증 시스템 도입 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201039,2025-12-10,2025,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201039,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-200988,임산부 배려석 사용률 증진을 위한 '스마트 알림 뱃지(Smart  Badge)' 도입 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200988,2025-12-02,2025,32.0,7,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200988,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석, 뱃지",상
PROP-200978,소중한 문화유산을 지켜주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200978,2025-12-01,2025,2.0,0,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200978,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,출산양육 후보,유산,유산,중
PROP-200867,임산부배려석의 배려의강요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200867,2025-11-14,2025,5.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200867,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-200696,임산부좌석 뱃지태그기능,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200696,2025-10-24,2025,3.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200696,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 뱃지",상
PROP-200665,"신혼부부 장기전세주택2, 혼인신고와 이혼",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200665,2025-10-21,2025,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200665,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 전세, 주택",상
PROP-200532,[시민규제발굴단] 서울시 지역아동센터 입소 조건 및 절차 개선 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200532,2025-09-27,2025,6.0,1,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200532,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,아동,지역아동센터,중
PROP-200496,서울시 신혼부부 살림비 지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200496,2025-09-23,2025,3.0,2,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200496,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-200475,안심 주택(청년.신혼. 어르신) 공급 지원 관련 조례 (신설.통합),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200475,2025-09-22,2025,3.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200475,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,신혼,"신혼, 주택",상
PROP-200463,"[시민규제발굴단] 신혼, 청년, 노년 주택 공급에 대한 제안.",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200463,2025-09-20,2025,2.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200463,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,신혼,"신혼, 주택",상
PROP-200411,서울시 신혼부부 결혼살림비 지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200411,2025-09-17,2025,24.0,1,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200411,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-200196,서울형 키즈카페 앱 개발,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200196,2025-08-14,2025,6.0,0,N,미상,정보·상담·교육·거버넌스,정보 통합·앱·플랫폼,정보 통합 플랫폼·앱,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200196,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,출산양육 후보,키즈,키즈카페,중
PROP-200169,지하철 임산부 좌석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200169,2025-08-10,2025,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200169,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-200168,임산부 배려석 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200168,2025-08-10,2025,9.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200168,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-200157,sh 행복주택 신생아 최우선 공급관련 건의합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200157,2025-08-08,2025,56.0,1,N,미상,출산·산후 초기지원,산후조리·도우미,산후조리·산모 회복 지원,출산 직후,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200157,출산·산후 초기지원,출생축하·신생아 초기지원,신생아 초기지원,출산양육 후보,신생아,신생아,중
PROP-200141,서울형키즈카페 이용연령 확장부탁,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200141,2025-08-06,2025,2.0,0,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200141,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,출산양육 후보,키즈,키즈카페,중
PROP-200129,예비 신혼부부를 위한 ‘서울시 미리내집’ 소득기준 개선 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200129,2025-08-04,2025,0.0,2,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200129,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-200102,강동구 키움센터 방학기간 설정에 인근 초등학교 방학기간을 고려해 주세요!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200102,2025-07-28,2025,20.0,1,N,강동구,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200102,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,"초등, 키움센터",상
PROP-199880,아동급식카드 개선 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199880,2025-07-01,2025,0.0,0,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199880,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,출산양육 후보,아동,급식,중
PROP-199692,지하철 임산부 배려석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199692,2025-06-04,2025,5.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199692,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-199683,초등학생을 위한 하교 후 키즈 프렌들리 존 조성 : 목2동 골목 상권 재생과 아동 생화환경 개선 방안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199683,2025-06-01,2025,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199683,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,"아동, 초등학생, 키즈","초등학생, 초등",상
PROP-199642,임산부 배려석 관련 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199642,2025-05-28,2025,3.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199642,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-199524,지하철 임산부좌석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199524,2025-05-13,2025,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199524,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-199518,지하철 내 임산부 배려석 운영 완화 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199518,2025-05-12,2025,3.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199518,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-199506,정책자금 융자 조건 - 신생아 임산부 경우 완화 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199506,2025-05-10,2025,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199506,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부, 신생아","임산부, 임산",상
PROP-199443,여의도 공원 내 실외놀이터 증설 및 서울형 키즈카페 도입,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199443,2025-04-28,2025,3.0,1,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199443,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,출산양육 후보,키즈,"키즈카페, 놀이터",상
PROP-199393,임산부석 자동화 시스템,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199393,2025-04-21,2025,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199393,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 임산부석",상
