제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,우리기준_대분류,우리기준_중분류,우리기준_소분류,출산양육_관련도,필터근거_키워드,분류근거_키워드,분류신뢰도
PROP-189694,여성 배려석 원복 및 임산부 무료 택시 이용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189694,2021-04-01,2021,2.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189694,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-189697,임산부뱃지비콘제작,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189697,2021-04-01,2021,63.0,8,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189697,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 뱃지",상
PROP-189621,임산부 대상 공영주차장 우선이용 혜택/할인이 생겼으면 좋겠어요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189621,2021-03-19,2021,12.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189621,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-189364,지하철 임산부 좌석 관련 문의 및 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189364,2021-02-01,2021,17.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189364,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-189336,반려동물 입양전 끝까지 책임진다는 생각을 먼저..,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189336,2021-01-27,2021,0.0,1,N,미상,취약·다양가족 사각지대,저소득·차상위·입양,저소득가구 양육지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189336,취약·다양가족 사각지대,저소득·차상위·입양,저소득·입양가정 지원,출산양육 후보,입양,입양,중
PROP-189234,임산부 재택근무,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189234,2021-01-04,2021,9.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189234,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-189190,서울시 신혼부부 임차보증금 지원 정책 개선 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189190,2020-12-25,2020,16.0,3,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189190,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 임차보증금",상
PROP-189143,임산부의 재택근무,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189143,2020-12-17,2020,4.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189143,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-188888,키움센터 교사 채용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188888,2020-11-23,2020,5.0,1,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188888,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,키움센터,키움센터,중
PROP-188880,미등록이주아동 인권을 위한 홍보 프로젝트 기획을 제안 합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188880,2020-11-21,2020,7.0,1,N,미상,취약·다양가족 사각지대,다문화·외국인,다문화가족 지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188880,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,아동,아동,하
PROP-188872,꿈나무카드(서울시아동급식카드) 가맹점 조회방식을 개선해주세요!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188872,2020-11-20,2020,74.0,9,Y,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188872,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,출산양육 후보,아동,급식,중
PROP-188816,지하철 임산부 배려석 핑크색 스티커,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188816,2020-11-13,2020,19.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188816,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-188674,지하철 이용중 임산부의 임산부 좌석  접근 및 승차 시 신호발송 장치기구의 설치를 제안합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188674,2020-10-28,2020,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188674,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-188671,교통시설 임산부 알림,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188671,2020-10-27,2020,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188671,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-188612,예식을 앞둔 신혼부부입니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188612,2020-10-17,2020,8.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188612,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼",상
PROP-188607,임산부검사 다시 복구시켜주세요!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188607,2020-10-16,2020,9.0,3,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188607,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-188412,임산부배려석에 대한 작은 생각,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188412,2020-09-09,2020,9.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188412,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
