제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL
PROP-183371,보건소에주사,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183371,2018-12-15,2018,1.0,1,N,미상,임신·난임·생식건강,난임 주사·보건소 접근성,난임 주사 보건소 허용,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183371
PROP-183370,보건소에주사,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183370,2018-12-15,2018,0.0,1,N,미상,임신·난임·생식건강,난임 주사·보건소 접근성,난임 주사 보건소 허용,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183370
PROP-183365,서울시 흡연단속을 DNA 검사 등을 병행하여 제대로 합시다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183365,2018-12-14,2018,0.0,0,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183365
PROP-183357,서울시 화재에 취약한 필로티 건축물 예방 개선책,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183357,2018-12-13,2018,0.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183357
PROP-183362,ㄸㅏ복공동주택,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183362,2018-12-13,2018,1.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183362
PROP-183360,보건소와 택시회사가 협약관계를 맺어  카시트 장착,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183360,2018-12-13,2018,0.0,0,N,미상,임신·난임·생식건강,난임 주사·보건소 접근성,난임 주사 보건소 허용,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183360
PROP-183349,서울시 자전거 따르릉 자전거주차장 국산화 성공,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183349,2018-12-12,2018,0.0,0,N,미상,다자녀·양육비·생활지원,지역 간 혜택 형평성,다자녀 지역 형평성,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183349
PROP-183344,전철 임산부 보호석 보완,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183344,2018-12-12,2018,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183344
PROP-183342,"버스정류장 과태료부과구역 설정하자,,,",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183342,2018-12-11,2018,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183342
PROP-183341,서울시민이 하남시 버스를 기달리며 고통받습니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183341,2018-12-11,2018,0.0,0,N,미상,다자녀·양육비·생활지원,지역 간 혜택 형평성,다자녀 지역 형평성,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183341
PROP-183340,은평차고지 버스노선 변경건,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183340,2018-12-11,2018,4.0,2,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183340
PROP-183337,보건소 지원이 절실히 필요합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183337,2018-12-11,2018,0.0,1,N,미상,임신·난임·생식건강,난임 주사·보건소 접근성,난임 주사 보건소 허용,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183337
PROP-183332,체육시설 이용 편의성 제고,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183332,2018-12-10,2018,1.0,0,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183332
PROP-183328,개선이 필요합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183328,2018-12-10,2018,0.0,1,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183328
PROP-183309,마을버스 도착정보기기 설치 민간 사업자 협약후 같이 설치 부담합시다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183309,2018-12-09,2018,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183309
PROP-183307,서울역에 무료 샤워시설이 있었으면 좋겠습니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183307,2018-12-09,2018,0.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183307
PROP-183314,"디지털미디어시티역 버스정류장 신설하자,,,,,,,",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183314,2018-12-09,2018,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183314
PROP-183319,"디지털 성범죄, 몰래카메라 현행방식의 개선 필요성",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183319,2018-12-09,2018,2.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183319
PROP-183295,지하철 내에서 휴대폰 충전을 할수 있는 부스가 마련되길 희망합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183295,2018-12-07,2018,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183295
PROP-183294,결제 방법 개선으로 따릉이 이용률 제고,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183294,2018-12-07,2018,1.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183294
PROP-183286,버스커들이 좋은 공연을 할 수 있는 환경을 만들어주세요!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183286,2018-12-06,2018,1.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183286
PROP-183267,준비된 창업교육을 통한 시민주도 양질의 일자리 창출 프로젝트,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183267,2018-12-05,2018,0.0,0,N,미상,일·가정 양립·부모 노동,경력단절·자립,경력단절 예방·일자리,부모 노동·돌봄 병행,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183267
PROP-183260,오토바이 사용자 교통 법규는 어떻게 되어 있나요?,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183260,2018-12-04,2018,1.0,1,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183260
PROP-183258,다중이용시설 통로는 우측보행 홍보 필요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183258,2018-12-04,2018,6.0,1,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183258
PROP-183252,한강반포지구내 흔들의자 추가 부탁드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183252,2018-12-04,2018,0.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183252
PROP-183251,한강 반포지구에 흔들의자 추가설치 부탁드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183251,2018-12-04,2018,0.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183251
PROP-183242,지하철(전철) 승강기는 노약자만 이용하는 건강한 사회를,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183242,2018-12-03,2018,4.0,3,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183242
PROP-183246,서울시 시내버스 완전공영제,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183246,2018-12-03,2018,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183246
PROP-183247,교통신호기 감지 기기시스템 설치하여 교통정체현상 해결하자,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183247,2018-12-03,2018,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183247
PROP-183233,지하철 빈 광고판 활용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183233,2018-12-02,2018,1.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183233
