제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,분류근거_키워드,분류신뢰도,출산양육관련여부,수집방식
PROP-197311,임산부 배려석 운영 정책 개선 제안,임산부 배려석 운영 정책 개선 제안,2024-10-23,2024,60.0,6,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197311,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-197288,서울시 내 다둥이카드 사용 요건을 통일해 주세요.,서울시 내 다둥이카드 사용 요건을 통일해 주세요.,2024-10-18,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197288,직접키워드 (다둥이),상,직접관련,ver1 수집
PROP-197271,임산부 배려석에 바닥 라이트를 설치해주세요.,임산부 배려석에 바닥 라이트를 설치해주세요.,2024-10-16,2024,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197271,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-197263,지하철 임산부석 알림음,지하철 임산부석 알림음,2024-10-16,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197263,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-197236,서울 소재 소기업 이상 사업장에 대해 어린이집 설립 인센티브 제공 제안,서울 소재 소기업 이상 사업장에 대해 어린이집 설립 인센티브 제공 제안,2024-10-15,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197236,직접키워드 (어린이집),상,직접관련,ver1 수집
PROP-197233,"서울지하철 주요 노선에 출산, 육아 장려 칸 도입 제안","서울지하철 주요 노선에 출산, 육아 장려 칸 도입 제안",2024-10-15,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197233,직접키워드 (출산),상,직접관련,ver1 수집
PROP-197204,신혼부부전세자금대출 이자지원사업 관련,신혼부부전세자금대출 이자지원사업 관련,2024-10-10,2024,18.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197204,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-197063,산후조리원 어린이집 유치원 3천세대 이상은 필수로,산후조리원 어린이집 유치원 3천세대 이상은 필수로,2024-09-19,2024,3.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197063,직접키워드 (산후),상,직접관련,ver1 수집
PROP-197030,친인척 조력자 아이돌봄비 지원 제도 개선 요청,친인척 조력자 아이돌봄비 지원 제도 개선 요청,2024-09-13,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197030,직접키워드 (아이돌봄),상,직접관련,ver1 수집
PROP-196964,대중교통 임산부석에 대한 제안,대중교통 임산부석에 대한 제안,2024-09-02,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196964,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-196911,서울시 출산율 올리는 정책,서울시 출산율 올리는 정책,2024-08-22,2024,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196911,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196838,"유치원, 초등학교 운동장에 선셰이드(햇빛 가림막)을 설치해 주세요.","유치원, 초등학교 운동장에 선셰이드(햇빛 가림막)을 설치해 주세요.",2024-08-14,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196838,직접키워드 (유치원),상,직접관련,ver1 수집
PROP-196831,저출산 관련 정책 제안합니다,저출산 관련 정책 제안합니다,2024-08-13,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196831,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196806,마곡유치원 공항고등학교 앞 부지에 도서관 건립 요청드려요,마곡유치원 공항고등학교 앞 부지에 도서관 건립 요청드려요,2024-08-12,2024,67.0,5,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196806,직접키워드 (유치원),상,직접관련,ver1 수집
PROP-196793,서울형 아이돌봄비 지원금 관련 의견,서울형 아이돌봄비 지원금 관련 의견,2024-08-09,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196793,직접키워드 (아이돌봄),상,직접관련,ver1 수집
PROP-196769,서울시 대중교통  임산부석 개선 요청합니다.,서울시 대중교통  임산부석 개선 요청합니다.,2024-08-03,2024,13.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196769,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-196732,서울시에서 홍보한 교량호텔 인원제한포함 숙박시설 다둥이 인원제한관련 의견,서울시에서 홍보한 교량호텔 인원제한포함 숙박시설 다둥이 인원제한관련 의견,2024-07-27,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196732,직접키워드 (다둥이),상,직접관련,ver1 수집
