SN,TITLE,CONTENT,VOTE_SCORE,REG_DATE,VISIOIN_TXT,USER_COMMENT_CNT,VOTE_CNT,VOTE_DIS_CNT,REPLY_YN
195730.0,소아과와 어린이집 유치원 보육시설 연계가 있었으면 좋겠습니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195730,2.0,2024-03-16 14:27:14.0,여성,0,2,0,N
195711.0,[공동육아 스타트업] 서울시육아지원정부사업_협력/홍보 문의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195711,0.0,2024-03-08 09:27:20.0,여성,0,0,0,N
195684.0,유급 육아시간 확대 사용 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195684,1.0,2024-03-02 10:01:42.0,여성,0,1,0,N
195676.0,서울런 다자녀 확대 시기,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195676,1.0,2024-02-26 21:43:41.0,교육,0,1,0,N
195671.0,[제도개선]다자녀 가정의 시·도 간 주차요금 감면 혜택 제도적 보완 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195671,32.0,2024-02-26 13:35:36.0,여성,1,32,0,N
195665.0,우리는 왜 출산하지 않을까? Part 3,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195665,1.0,2024-02-25 20:15:16.0,건강,0,1,0,N
195663.0,우리는 왜 출산하지 않을까? Part 2,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195663,1.0,2024-02-25 16:20:19.0,건강,0,1,1,N
195661.0,우리는 왜 출산하지 않을까? Part 1,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195661,1.0,2024-02-24 09:04:17.0,여성,0,1,0,N
195657.0,다자녀 할인 확대,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195657,0.0,2024-02-22 15:29:00.0,여성,0,0,0,N
195558.0,육아휴직 프리랜서 자영업 개선,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195558,3.0,2024-01-18 21:50:24.0,여성,0,3,0,N
195496.0,연령별출산대책,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195496,0.0,2024-01-03 20:00:27.0,여성,0,0,0,N
195464.0,구에서 운영하는 체육시설에 대해 다자녀 3명 → 2명으로 변경 제한 드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195464,4.0,2023-12-27 14:11:59.0,문화,0,4,0,N
195458.0,"부모 교육 확대, 기업 본사 이전 면세 혜택,  자동·의무 육아휴직제- 저출산 정책 제안",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195458,0.0,2023-12-24 15:13:26.0,여성,1,0,1,N
195098.0,어린이집 교사 역량 강화비 사용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195098,9.0,2023-09-13 20:48:43.0,여성,2,5,0,N
194899.0,출산율 문제 해결을 위한 제안입니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194899,1.0,2023-08-01 09:59:17.0,여성,1,1,1,N
194881.0,저출산 해결을 위한 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194881,1.0,2023-07-28 09:53:31.0,여성,0,1,0,N
194877.0,국공립 어린이집 처우개선 사항,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194877,2.0,2023-07-27 13:18:34.0,여성,0,2,0,N
194854.0,저출산 및 육아에 관련 의견 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194854,1.0,2023-07-24 00:12:37.0,여성,0,1,1,N
194750.0,산후조리경비 지원 확대 및 소급적용 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194750,17.0,2023-07-01 01:31:55.0,여성,2,17,0,N
194732.0,가정어린이집탄력근무제,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194732,0.0,2023-06-29 07:01:52.0,여성,0,0,0,N
194719.0,매입임대 다자녀가구를 배려해 주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194719,6.0,2023-06-27 09:29:41.0,주택,0,6,0,N
194713.0,다자녀가구 자동차 취득세 감면혜택 완화요청(5인승 이상으로),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194713,22.0,2023-06-25 19:17:53.0,세금,1,22,0,N
194667.0,출산관련 복지,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194667,3.0,2023-06-15 14:45:18.0,여성,0,3,0,N
194610.0,임신부 표시(전철),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194610,0.0,2023-06-08 17:45:25.0,교통,0,0,0,N
194484.0,서울시 저출산 대책마련 지원..(더 나아가 대한민국의 미래),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194484,0.0,2023-05-16 15:19:11.0,여성,0,0,0,N
194469.0,산후조리 경비 지원 대상자 확대 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194469,364.0,2023-05-14 12:03:13.0,복지,76,364,0,Y
194363.0,저출산대책 시행일을 2023.01.01 이후로  해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194363,3.0,2023-04-21 10:28:28.0,복지,0,3,0,N
194360.0,"언론, 정부, 기업, 국민들이 모두 힘을 합치는 저출산 문제 해결 프로젝트 (국공립",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194360,144.0,2023-04-20 15:58:10.0,여성,5,144,0,Y
194332.0,서울런 이용자에 다자녀 가정의 추가를 건의합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194332,6.0,2023-04-13 10:41:10.0,청년,1,6,0,N
194324.0,저출산대책2편 시행일을 정책발표일로 대상자 늘려주세요^^,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194324,653.0,2023-04-11 19:58:06.0,복지,147,653,0,Y
194273.0,저출산 현상에 대한 현실적 해결방안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194273,0.0,2023-04-02 19:19:59.0,여성,0,0,0,N
194248.0,다자녀혜택 교육도(서울런) 확대부탁드립니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194248,11.0,2023-03-28 22:51:34.0,교육,0,7,0,N
194167.0,다자녀혜택 연령 상한 폐지 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194167,4.0,2023-03-14 16:10:36.0,복지,0,4,0,N
194164.0,출산장려를 위한 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194164,30.0,2023-03-13 11:00:20.0,여성,3,26,0,N
194163.0,공공 산후조리원 증설요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194163,1.0,2023-03-13 10:50:07.0,건강,0,1,0,N
194145.0,저출산 해결방안 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194145,6.0,2023-03-09 09:50:07.0,여성,0,2,0,N
194144.0,서울시민과 출산율 증가를 위한 여성 달리기 대회,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194144,0.0,2023-03-08 20:59:07.0,여성,0,0,1,N
194129.0,출산율높이기 위한 복지,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194129,5.0,2023-03-05 02:44:59.0,복지,0,1,0,N
194046.0,저출산 고령화 대비를 위하여,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194046,1.0,2023-02-10 15:22:25.0,건강,1,1,0,N
193970.0,도시가스 다자녀 관련,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193970,1.0,2023-01-27 14:08:27.0,복지,0,1,0,N
193884.0,서울시 각  구별로 공동 육아장을 만들면 어떨지요?,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193884,0.0,2023-01-08 10:47:35.0,복지,0,0,0,N
193853.0,가정어린이집 관리방안 수립,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193853,10.0,2023-01-02 10:28:13.0,여성,0,2,0,N
193727.0,임신부석 버튼 신설,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193727,1.0,2022-12-12 09:10:56.0,교통,1,1,0,N
193695.0,저출산 문제가 조금 걱정이 됩니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193695,5.0,2022-12-08 15:00:33.0,여성,0,1,0,N
193669.0,서울시에서 세계 최저 출산율 개선 제언,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193669,0.0,2022-12-05 16:10:26.0,건강,0,0,0,N
193598.0,어린이집 조리사 처우개선비 기준 완화 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193598,302.0,2022-11-23 15:52:27.0,여성,50,302,0,Y
193589.0,국공립/구립 어린이집 0세반 입소 관련 제안 및 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193589,0.0,2022-11-21 14:24:52.0,여성,0,0,0,N
193306.0,출산율 1위 서울,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193306,7.0,2022-09-27 10:53:55.0,여성,0,3,0,N
193159.0,희망의 인문학 프로그램과 보육원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193159,0.0,2022-08-28 13:20:59.0,복지,0,0,0,N
193131.0,저출산 문제점 및 대응 방안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193131,7.0,2022-08-22 11:28:01.0,건강,1,3,0,N
193097.0,"난임부부, 임신준비시 약제비도 지원해주세요",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193097,76.0,2022-08-18 12:13:16.0,건강,0,76,0,Y
192909.0,"다자녀 할인 서울시 전역(강서구, 양천구....)",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192909,1.0,2022-07-19 14:56:20.0,여성,1,1,0,N
192871.0,보육교사의 정년을 늘려주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192871,5.0,2022-07-12 09:14:46.0,여성,0,1,0,N
192865.0,어린이집 운영서비스 개선,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192865,6.0,2022-07-11 09:32:14.0,여성,3,2,0,N
192326.0,출산지원을 출산후 지원도 검토해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192326,11.0,2022-04-14 07:55:18.0,여성,2,3,0,N
192106.0,"학교, 유치원, 어린이집에 코로나19신속진단키트를 제공해주세요!",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192106,1.0,2022-02-04 17:09:11.0,여성,0,1,0,N
191846.0,육아 예술가들의 고독감을 해결하기 위한 육아하는 예술가들의 수다방 ( 手茶房: 창작하고 이야기하고 고민을 나누는 육아 예술가들의 쉼터),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191846,5.0,2021-12-10 17:18:52.0,여성,0,1,0,N
