제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유
PROP-186626,우리 서울시 만큼이라도  아동수당 추가 지급 하게 된다면 현금으로 지급 하면 좋겠네요,우리 서울시 만큼이라도  아동수당 추가 지급 하게 된다면 현금으로 지급 하면 좋겠네요,2020-03-11,2020,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186626,다자녀·양육비·생활지원,양육비·생활비 지원,분유·기저귀·아동수당·부모급여,아동수당,상,직접관련,아동수당,확장 1차 생활키워드 수집,
PROP-186485,코로나로 학원휴원 학원비반환에 대한 제안,코로나로 학원휴원 학원비반환에 대한 제안,2020-02-26,2020,4.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186485,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,학원비,상,직접관련,학원비,확장 1차 생활키워드 수집,
PROP-186065,서울시 수유실 찾기 지도 앱 개발 및 출시,서울시 수유실 찾기 지도 앱 개발 및 출시,2019-12-07,2019,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186065,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,수유실,상,직접관련,수유실,확장 1차 생활키워드 수집,
PROP-185872,어린이보호구역 스쿨존 도로 형태 변경을 제안합니다.,어린이보호구역 스쿨존 도로 형태 변경을 제안합니다.,2019-12-06,2019,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185872,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역/스쿨존 + 어린이,중,조합관련,아동_안전환경: 보호구역/스쿨존 + 어린이,2차 문맥조합 수집,
PROP-185383,어린이공원 내에 젊은 부모들의 감성을 자극하는 테마공원을 조성해주세요.,어린이공원 내에 젊은 부모들의 감성을 자극하는 테마공원을 조성해주세요.,2019-10-10,2019,8.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185383,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 공원 + 부모,중,조합관련,공간·편의시설: 공원 + 부모,2차 문맥조합 수집,
PROP-185302,아이와 조부모가 함께 할 수 있는 공간을 만들어주세요,아이와 조부모가 함께 할 수 있는 공간을 만들어주세요,2019-09-24,2019,6.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185302,보육·돌봄 인프라,가족돌봄,아이돌봄·조부모돌봄,공간·편의시설: 공간 + 아이/부모,중,조합관련,공간·편의시설: 공간 + 아이/부모,2차 문맥조합 수집,
PROP-185284,이웃 할머니 할아버지 긴급돌봄 지원,이웃 할머니 할아버지 긴급돌봄 지원,2019-09-24,2019,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=185284,보육·돌봄 인프라,가족돌봄,아이돌봄·조부모돌봄,긴급돌봄,상,직접관련,긴급돌봄,확장 1차 생활키워드 수집,
PROP-184945,어린이 노인장애인보호구역 도로표시  지그자그로,어린이 노인장애인보호구역 도로표시  지그자그로,2019-08-04,2019,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184945,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-184905,아동들의 놀 공간을 찾아주세요!,아동들의 놀 공간을 찾아주세요!,2019-07-31,2019,55.0,3,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184905,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 공간 + 아동,중,조합관련,공간·편의시설: 공간 + 아동,2차 문맥조합 수집,
PROP-184904,아이들만의 쉬는 공간이 필요해요!!,아이들만의 쉬는 공간이 필요해요!!,2019-07-31,2019,8.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184904,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 공간 + 아이,중,조합관련,공간·편의시설: 공간 + 아이,2차 문맥조합 수집,
PROP-184886,아이들을 위한 실내 공간에 대한 나의 의견,아이들을 위한 실내 공간에 대한 나의 의견,2019-07-31,2019,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184886,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 공간 + 아이,중,조합관련,공간·편의시설: 공간 + 아이,2차 문맥조합 수집,
PROP-184424,생명을 살리는 어린이 안전 모자,생명을 살리는 어린이 안전 모자,2019-04-26,2019,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=184424,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 어린이,중,조합관련,아동_안전환경: 안전 + 어린이,2차 문맥조합 수집,
