제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유
PROP-201476,어린이 보호구역 이륜차 무단 주차 방지를 위한 종합 관리 방안,어린이 보호구역 이륜차 무단 주차 방지를 위한 종합 관리 방안,2026-02-06,2026,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201476,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-201294,서울형키즈카페 서울 생활권자 이용권한 확대,서울형키즈카페 서울 생활권자 이용권한 확대,2026-01-17,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201294,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-201182,장위동에 서울형키즈카페 개설 건의합니다.,장위동에 서울형키즈카페 개설 건의합니다.,2026-01-09,2026,57.0,1,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201182,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-201155,종로구 서울형키즈카페,종로구 서울형키즈카페,2026-01-04,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201155,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-200754,서울형키즈카페,서울형키즈카페,2025-10-30,2025,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200754,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-200525,아이들이 등하교를 안전하게 다닐 수 있도록 개정이 필요합니다.,아이들이 등하교를 안전하게 다닐 수 있도록 개정이 필요합니다.,2025-09-26,2025,106.0,1,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200525,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-200421,[시민규제발굴단] 청약시 자녀수에 대한 가산점 확대,[시민규제발굴단] 청약시 자녀수에 대한 가산점 확대,2025-09-18,2025,1.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200421,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,주거·대출: 청약 + 자녀,중,조합관련,주거·대출: 청약 + 자녀,2차 문맥조합 수집,
PROP-200141,서울형키즈카페 이용연령 확장부탁,서울형키즈카페 이용연령 확장부탁,2025-08-06,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200141,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-200103,가정내 돌봄종사자 무료예방접종,가정내 돌봄종사자 무료예방접종,2025-07-28,2025,69.0,3,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200103,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,예방접종,상,직접관련,예방접종,확장 1차 생활키워드 수집,
PROP-199817,도로상 어린이보호구역 내 사고율 저하를 위한 제안 드립니다.,도로상 어린이보호구역 내 사고율 저하를 위한 제안 드립니다.,2025-06-23,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199817,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-199768,서울형키즈카페 양말판매 건의,서울형키즈카페 양말판매 건의,2025-06-15,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199768,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-199706,불법주정차 구역중 어린이보호구역 중 초등학교정문앞도로 시간 제한 폐지,불법주정차 구역중 어린이보호구역 중 초등학교정문앞도로 시간 제한 폐지,2025-06-05,2025,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199706,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-199452,서울형키즈카페,서울형키즈카페,2025-04-28,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199452,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-199153,어린이 차량갇힘사고 예방 등을 위한 이동형 안전체험버스 제작,어린이 차량갇힘사고 예방 등을 위한 이동형 안전체험버스 제작,2025-04-05,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199153,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 어린이,중,조합관련,아동_안전환경: 안전 + 어린이,2차 문맥조합 수집,
PROP-199043,따릉이를 만 13세 미만 어린이가 이용할 때 안전 보호 책임자 변경,따릉이를 만 13세 미만 어린이가 이용할 때 안전 보호 책임자 변경,2025-03-29,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199043,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 어린이,중,조합관련,아동_안전환경: 안전 + 어린이,2차 문맥조합 수집,
PROP-198861,아이들.청소년을위한공간들,아이들.청소년을위한공간들,2025-03-22,2025,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198861,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 공간 + 아이,중,조합관련,공간·편의시설: 공간 + 아이,2차 문맥조합 수집,
PROP-198843,과속방지카메라로 아이들의 안전을,과속방지카메라로 아이들의 안전을,2025-03-21,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198843,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-198713,마포구 대흥로20안길 어린이 보호구역 및 일방통행  지정 제안,마포구 대흥로20안길 어린이 보호구역 및 일방통행  지정 제안,2025-03-16,2025,102.0,5,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198713,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-198646,어린이보호구역 속도규제,어린이보호구역 속도규제,2025-03-12,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198646,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-198582,어린이보호구역(스쿨존) 속도 제한을 시간대에 따라 탄련적으로 운형하는 개선 방안 모색,어린이보호구역(스쿨존) 속도 제한을 시간대에 따라 탄련적으로 운형하는 개선 방안 모색,2025-03-09,2025,2.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198582,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역/스쿨존 + 어린이,중,조합관련,아동_안전환경: 보호구역/스쿨존 + 어린이,2차 문맥조합 수집,
PROP-198483,어린이보호구역 야간 시간 해제,어린이보호구역 야간 시간 해제,2025-03-04,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198483,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-198232,서울형키즈카페 등 이용시간 연장,서울형키즈카페 등 이용시간 연장,2025-02-18,2025,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198232,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-198203,야간 어린이 보호구역 30km속도제한 해제,야간 어린이 보호구역 30km속도제한 해제,2025-02-17,2025,3.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198203,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-197999,어린이보호구역,어린이보호구역,2025-02-08,2025,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197999,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-197993,어린이 ㆍ노인 보호구역 시차제 적용,어린이 ㆍ노인 보호구역 시차제 적용,2025-02-07,2025,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197993,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-197934,어린이보호구역,어린이보호구역,2025-02-05,2025,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197934,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-197918,어린이보호구역 시간제 운영,어린이보호구역 시간제 운영,2025-02-04,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197918,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-197901,도서관 가족회원 통합의 건,도서관 가족회원 통합의 건,2025-02-04,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197901,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 도서관 + 가족,중,조합관련,공간·편의시설: 도서관 + 가족,2차 문맥조합 수집,
PROP-197873,청년안심주택 반려동물 양육 및 출입금지 규정 폐지 요청드립니다.,청년안심주택 반려동물 양육 및 출입금지 규정 폐지 요청드립니다.,2025-02-03,2025,85.0,14,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197873,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,양육,상,직접관련,양육,기존 1차 직접키워드 수집,
PROP-197859,36개월 아이도 등하원돌봄이 필요합니다,36개월 아이도 등하원돌봄이 필요합니다,2025-02-03,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197859,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,"등하원, 하원",상,직접관련,등하원,확장 1차 생활키워드 수집,
PROP-197676,애완견 외출시 기저귀 채워 주세요,애완견 외출시 기저귀 채워 주세요,2025-01-05,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197676,다자녀·양육비·생활지원,양육비·생활비 지원,분유·기저귀·아동수당·부모급여,기저귀,상,직접관련,기저귀,확장 1차 생활키워드 수집,
PROP-197295,어린이 등하굣길 교통안전지도 사업제안,어린이 등하굣길 교통안전지도 사업제안,2024-10-20,2024,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197295,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 어린이,중,조합관련,아동_안전환경: 안전 + 어린이,2차 문맥조합 수집,
PROP-197259,"우리 아이들, 동네 아이들 안전하게 다닐수 있게 도와주세요!!!","우리 아이들, 동네 아이들 안전하게 다닐수 있게 도와주세요!!!",2024-10-15,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197259,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-197171,어린이보호구역 노인일자리,어린이보호구역 노인일자리,2024-10-07,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197171,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-197002,어린이보호구역내 속도제한의 탄력조정운영제안,어린이보호구역내 속도제한의 탄력조정운영제안,2024-09-09,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197002,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-196927,강남구 해찬솔 유아숲 체험 관련 건의사항입니다.,강남구 해찬솔 유아숲 체험 관련 건의사항입니다.,2024-08-26,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196927,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,교육·프로그램: 체험 + 유아,중,조합관련,교육·프로그램: 체험 + 유아,2차 문맥조합 수집,
PROP-196829,우리 아이들이 안전하게 자랄 수 있도록 사당 15구역 재개발 추진해 주세요.,우리 아이들이 안전하게 자랄 수 있도록 사당 15구역 재개발 추진해 주세요.,2024-08-13,2024,19.0,5,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196829,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-196795,중곡역 서울형키즈카페,중곡역 서울형키즈카페,2024-08-09,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196795,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-196722,어린이 보호 구역 시점과 종점 바닥 그리고 어린이 보호구역에 있는 방호 울타리를 전부 노란색으로 칠해 주세요.,어린이 보호 구역 시점과 종점 바닥 그리고 어린이 보호구역에 있는 방호 울타리를 전부 노란색으로 칠해 주세요.,2024-07-25,2024,1.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196722,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-196711,장난감도서관의 소독시간 폐지,장난감도서관의 소독시간 폐지,2024-07-24,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196711,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,장난감도서관,상,직접관련,장난감도서관,확장 1차 생활키워드 수집,
PROP-196494,장애아를 위한 서울형키즈카페 제안,장애아를 위한 서울형키즈카페 제안,2024-06-30,2024,14.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196494,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-196434,고등학생 하원 택시 운영제도,고등학생 하원 택시 운영제도,2024-06-20,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196434,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,하원,상,직접관련,하원,확장 1차 생활키워드 수집,
PROP-195744,스쿨존 어린이 스마트폰 사용 제안,스쿨존 어린이 스마트폰 사용 제안,2024-03-18,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195744,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 스쿨존 + 어린이,중,조합관련,아동_안전환경: 스쿨존 + 어린이,2차 문맥조합 수집,
PROP-195192,어린이 보호구역 건널목,어린이 보호구역 건널목,2023-10-15,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195192,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-195163,어린이보호구역내 교통사고 방지를 위한 교통시설물 변경설치 및 작업제한,어린이보호구역내 교통사고 방지를 위한 교통시설물 변경설치 및 작업제한,2023-10-04,2023,18.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195163,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-195147,흡연에 대한 경범죄로 추가 제안. 아이와 시민들의 건강과 올바른 흡연습관을 위해 제안합니다.,흡연에 대한 경범죄로 추가 제안. 아이와 시민들의 건강과 올바른 흡연습관을 위해 제안합니다.,2023-09-26,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195147,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 흡연/범죄 + 아이,중,조합관련,아동_안전환경: 흡연/범죄 + 아이,2차 문맥조합 수집,
PROP-194958,용산가족공원 내 잔디 운동장 트랙부분 모래 깔아주세요,용산가족공원 내 잔디 운동장 트랙부분 모래 깔아주세요,2023-08-10,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194958,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 공원 + 가족,중,조합관련,공간·편의시설: 공원 + 가족,2차 문맥조합 수집,
PROP-194855,노인의 안전한 버스 승하차 아이디어 제안,노인의 안전한 버스 승하차 아이디어 제안,2023-07-24,2023,25.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194855,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-194687,난자냉동 지원 나이를 만28세로 하향해주세요.,난자냉동 지원 나이를 만28세로 하향해주세요.,2023-06-19,2023,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194687,임신·난임·생식건강,임신 준비·가임력 지원,가임력검사·난자냉동·예비부부검진,난자냉동,상,직접관련,난자냉동,확장 1차 생활키워드 수집,
PROP-194620,서울시 관내의 모유수유시설의 한글 명칭과 영문 명칭 통일 해 주세요.,서울시 관내의 모유수유시설의 한글 명칭과 영문 명칭 통일 해 주세요.,2023-06-10,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194620,출산·산후 초기지원,산모 회복·건강관리,산후우울·산후검진·수유상담,모유수유,상,직접관련,모유수유,확장 1차 생활키워드 수집,
PROP-194407,스쿨존 교통사고 발생시 피해아동에게 실질적 피해보상안,스쿨존 교통사고 발생시 피해아동에게 실질적 피해보상안,2023-04-26,2023,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194407,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 스쿨존 + 아동,중,조합관련,아동_안전환경: 스쿨존 + 아동,2차 문맥조합 수집,
PROP-194379,"아이들이 안전하게 걸어 다닐 수 있는 서울을 만들어주세요.(음주운전, 길거리 흡연 관련)","아이들이 안전하게 걸어 다닐 수 있는 서울을 만들어주세요.(음주운전, 길거리 흡연 관련)",2023-04-24,2023,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194379,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 흡연/안전 + 아이,중,조합관련,아동_안전환경: 흡연/안전 + 아이,2차 문맥조합 수집,
PROP-194228,"★ 우리 소중한 아이들의 스쿨존은 지금, 충 / 분 / 히  안전한가요?","★ 우리 소중한 아이들의 스쿨존은 지금, 충 / 분 / 히  안전한가요?",2023-03-27,2023,68.0,0,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194228,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전/스쿨존 + 아이,중,조합관련,아동_안전환경: 안전/스쿨존 + 아이,2차 문맥조합 수집,
PROP-194156,교재비 지원,교재비 지원,2023-03-10,2023,7.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194156,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,교재비,상,직접관련,교재비,확장 1차 생활키워드 수집,
PROP-193726,야간 소아응급 의료진 확충 방안 건의,야간 소아응급 의료진 확충 방안 건의,2022-12-12,2022,1.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193726,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,소아응급,상,직접관련,소아응급,확장 1차 생활키워드 수집,
PROP-193638,어린이 보호구역 알림 전광판,어린이 보호구역 알림 전광판,2022-12-01,2022,2.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193638,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-193577,서울형키즈카페,서울형키즈카페,2022-11-18,2022,5.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193577,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,
PROP-193454,인도에서 흡연 및 오토바이. 유모차 끌고다니기 무섭다,인도에서 흡연 및 오토바이. 유모차 끌고다니기 무섭다,2022-10-30,2022,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193454,주거·교통·도시생활환경,유모차 이동권,유모차·유아차 이동편의,유모차,상,직접관련,유모차,기존 1차 직접키워드 수집,
PROP-192668,서울런 교재비 지원금을 늘려주세요.,서울런 교재비 지원금을 늘려주세요.,2022-06-12,2022,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192668,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,교재비,상,직접관련,교재비,확장 1차 생활키워드 수집,
PROP-192172,장애아동을 위한 전용 미용(헤어컷)시설 설치를 제안합니다.,장애아동을 위한 전용 미용(헤어컷)시설 설치를 제안합니다.,2022-02-22,2022,112.0,3,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192172,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 시설 + 아동,중,조합관련,공간·편의시설: 시설 + 아동,2차 문맥조합 수집,
PROP-191811,아동을 위한 녹지 및 놀이시설 부족 문제와 해결방안,아동을 위한 녹지 및 놀이시설 부족 문제와 해결방안,2021-12-05,2021,16.0,3,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191811,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 시설 + 아동,중,조합관련,공간·편의시설: 시설 + 아동,2차 문맥조합 수집,
PROP-191780,어린이보호구역에서 전동킥보드 속도 제한 의무화,어린이보호구역에서 전동킥보드 속도 제한 의무화,2021-12-01,2021,11.0,8,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191780,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-191711,서울시시립 어린이병원 주차장(내곡동),서울시시립 어린이병원 주차장(내곡동),2021-11-19,2021,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191711,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,어린이병원,상,직접관련,어린이병원,확장 1차 생활키워드 수집,
PROP-191498,어린이 보호구역 주정차 금지,어린이 보호구역 주정차 금지,2021-10-21,2021,5.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191498,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-191451,어린이 교통 안전법안_교통안전교육 의무화,어린이 교통 안전법안_교통안전교육 의무화,2021-10-12,2021,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191451,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 어린이,중,조합관련,아동_안전환경: 안전 + 어린이,2차 문맥조합 수집,
PROP-191388,아동 청소년을 위한 방과후 활동과 돌봄을 위해 지역 공간 개방에 대한 개선방안 마련,아동 청소년을 위한 방과후 활동과 돌봄을 위해 지역 공간 개방에 대한 개선방안 마련,2021-09-30,2021,2.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191388,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,공간·편의시설: 공간 + 아동,중,조합관련,공간·편의시설: 공간 + 아동,2차 문맥조합 수집,
PROP-191088,독립문 공원 건너편 &#34;독립운동가 가족을 생각하는 작은집&#34;  조적벽돌 교체해야 합니다.,독립문 공원 건너편 &#34;독립운동가 가족을 생각하는 작은집&#34;  조적벽돌 교체해야 합니다.,2021-08-24,2021,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191088,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,공간·편의시설: 공원 + 가족,중,조합관련,공간·편의시설: 공원 + 가족,2차 문맥조합 수집,
PROP-190802,"서울시 청년 비제조/비영리 스타트업 지원 아이디어(장기 공간 대여, 전월세 주거 지원, 상품 유통 홍보)","서울시 청년 비제조/비영리 스타트업 지원 아이디어(장기 공간 대여, 전월세 주거 지원, 상품 유통 홍보)",2021-07-19,2021,11.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190802,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,공간·편의시설: 공간 + 아이,중,조합관련,공간·편의시설: 공간 + 아이,2차 문맥조합 수집,
PROP-190761,아이들 안전한 등하교길을 만들어주세요,아이들 안전한 등하교길을 만들어주세요,2021-07-15,2021,12.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190761,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,
PROP-190756,"필수목적, 예방접종 신청의 건","필수목적, 예방접종 신청의 건",2021-07-15,2021,7.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190756,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,예방접종,상,직접관련,예방접종,확장 1차 생활키워드 수집,
