제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,출산양육관련여부,분류근거_키워드,분류신뢰도,수집방식,제외사유,대분류,중분류,소분류,보정필터_소스
PROP-195168,한부모가구 cctv지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195168,2023-10-06,2023,1.0,0,N,미상,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼모 지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195168,직접관련,한부모,상,기존 1차 직접키워드 수집,,취약·다양가족 사각지대,한부모·위기임산부,한부모·미혼부모·위기임산부,신규추가7586_제목본문기준
PROP-195152,서울시신혼부부임차보증금 금리 너무높습니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195152,2023-09-28,2023,2.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195152,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-195084,실효성없는 신혼부부 대상 정책 개선 부탁드립니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195084,2023-09-08,2023,2.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195084,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-195063,대형서점 다둥이 혜택 좀 해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195063,2023-09-05,2023,5.0,0,N,미상,다자녀·양육비·생활지원,다자녀 기준·혜택,다자녀 인정 기준 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195063,직접관련,다둥이,상,기존 1차 직접키워드 수집,,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,신규추가7586_제목본문기준
PROP-195015,세자녀 이상 행복주택 거주기간 연장관련,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195015,2023-08-24,2023,6.0,1,N,미상,다자녀·양육비·생활지원,지역 간 혜택 형평성,다자녀 지역 형평성,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195015,조합관련,주거·대출: 주택 + 자녀,중,2차 문맥조합 수집,,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,신규추가7586_제목본문기준
PROP-195004,"임산부 배려석, 본래의 목적에 맞는 이용을 위한 제안",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195004,2023-08-22,2023,138.0,12,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195004,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-194998,다둥이카드 앱카드 활용불가,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194998,2023-08-19,2023,0.0,0,N,미상,다자녀·양육비·생활지원,다자녀 기준·혜택,다자녀 인정 기준 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194998,직접관련,다둥이,상,기존 1차 직접키워드 수집,,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,신규추가7586_제목본문기준
PROP-194971,SH신혼부부 대출 연장 조건 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194971,2023-08-13,2023,3.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194971,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-194913,지역구 유아수영프로그램 시설문의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194913,2023-08-03,2023,2.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194913,조합관련,교육·프로그램: 프로그램 + 유아,중,2차 문맥조합 수집,,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,신규추가7586_제목본문기준
PROP-194851,혼인신고서의 &#39;성·본의 협의&#39;를 출생신고에서 하도록 변경하는 것을 건의드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194851,2023-07-23,2023,1.0,0,N,미상,출산·산후 초기지원,출생축하·신생아 초기지원,신생아 초기지원,출산 직후,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194851,직접관련,출생,상,기존 1차 직접키워드 수집,,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,신규추가7586_제목본문기준
