제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,출산양육관련여부,분류근거_키워드,분류신뢰도,수집방식,제외사유,대분류,중분류,소분류,보정필터_소스
PROP-192751,임산부 교통비 지원 관련 추가 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192751,2022-06-24,2022,11.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192751,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-192709,신혼부부 임차보증금지원사업 연장 시 소득기준 상향,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192709,2022-06-18,2022,5.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192709,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-192668,서울런 교재비 지원금을 늘려주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192668,2022-06-12,2022,0.0,1,N,미상,다자녀·양육비·생활지원,교육비·서울런,서울런·교육비 지원,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192668,직접관련,교재비,상,확장 1차 생활키워드 수집,,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,신규추가7586_제목본문기준
PROP-192268,종로서대문 거점형 키움센터 3호 공간 효율이 떨어집니다. 7세를 위한 프로그램 필요합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192268,2022-03-23,2022,8.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192268,직접관련,키움센터,상,기존 1차 직접키워드 수집,,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,신규추가7586_제목본문기준
PROP-192216,강북구 유치원 교사 구청 지원금,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192216,2022-03-09,2022,5.0,0,N,강북구,보육·돌봄 인프라,어린이집·유치원,어린이집 운영·확충,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192216,직접관련,유치원,상,기존 1차 직접키워드 수집,,보육·돌봄 인프라,어린이집·유치원,보육시설·유아교육,신규추가7586_제목본문기준
PROP-192150,신혼부부 특별공급 자격요건 수정요청드립니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192150,2022-02-18,2022,6.0,1,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192150,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-192084,신혼부부 임차보증금 이자 지원 사업,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192084,2022-01-28,2022,9.0,2,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192084,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-191992,서울시 신혼부부 전세자금대출 이자지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191992,2022-01-08,2022,12.0,3,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191992,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-191817,재택근무 가능 직종 임산부 재택근무 의무화,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191817,2021-12-06,2021,5.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191817,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-191733,서울시 신혼부부 임차보증금 지원을 공공주택에도 확대 부탁드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191733,2021-11-23,2021,14.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191733,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-191703,실질적이고 획기적인 임산부배려석 이용방안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191703,2021-11-18,2021,11.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191703,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-191671,임산부배려석 간단한 해결방안입니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191671,2021-11-12,2021,7.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191671,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-191631,한부모 가정에게 상담 치료 바우처 지원을 제안합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191631,2021-11-04,2021,5.0,0,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191631,직접관련,한부모,상,기존 1차 직접키워드 수집,,취약·다양가족 사각지대,한부모·위기임산부,한부모·미혼부모·위기임산부,신규추가7586_제목본문기준
PROP-191608,아직 실제 등하교 경험이 없는 예비초맘과 기존 일부 초등학교 학부모의 안전한 등하굣길에 대한 불안감을 초고밀도 초등학교 조장하는 날치기 통학구역조정대신 안전한 등하교길 조성으로 응대하여 근본적으로 해결해주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191608,2021-11-03,2021,5.0,1,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191608,조합관련,아동_안전환경: 안전 + 부모,중,2차 문맥조합 수집,,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,신규추가7586_제목본문기준
PROP-191567,"교통약자(장애인, 임산부, 노인 등)가 공공 기관 및 시설물 등의 고층 엘리베이터를 기다리는 동안 잠시라도 착석 가능한 밴치 설치",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191567,2021-10-29,2021,7.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191567,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-191572,임산부 뱃지에 관하여,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191572,2021-10-29,2021,7.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191572,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-191559,임산부 배려석 활용 방안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191559,2021-10-28,2021,11.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191559,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-191535,임산부 배려석 옆에 아동 배려석 추가 조성 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191535,2021-10-24,2021,6.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191535,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-191534,방향성을 수정한 임산부 배려석 인식개선 캠페인 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191534,2021-10-24,2021,6.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191534,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-191492,임산부 뱃지 악용 - 정책 보완 건의사항,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191492,2021-10-20,2021,2.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191492,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-191244,공공교통의 임산부석 폐지해주세요~,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191244,2021-09-13,2021,7.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=191244,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-190951,다둥이카드 앱설치이용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190951,2021-08-06,2021,17.0,4,N,미상,다자녀·양육비·생활지원,다자녀 기준·혜택,다자녀 인정 기준 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190951,직접관련,다둥이,상,기존 1차 직접키워드 수집,,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,신규추가7586_제목본문기준
PROP-190756,"필수목적, 예방접종 신청의 건",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190756,2021-07-15,2021,7.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190756,직접관련,예방접종,상,확장 1차 생활키워드 수집,,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,신규추가7586_제목본문기준
PROP-190673,"새문안로, 새문안로 2길, 3길 교통신호 변경 및 도로 확장을 해 주세요. 아이들의 등원길이 위협받고 있습니다.",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190673,2021-07-09,2021,112.0,25,Y,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190673,직접관련,등원,상,확장 1차 생활키워드 수집,,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,신규추가7586_제목본문기준
PROP-190650,다둥이맘에게 혼잡통행료 감면 또는 면제해 주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190650,2021-07-05,2021,8.0,2,N,미상,다자녀·양육비·생활지원,다자녀 기준·혜택,다자녀 인정 기준 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190650,직접관련,다둥이,상,기존 1차 직접키워드 수집,,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,신규추가7586_제목본문기준
PROP-190365,지하절 임산부 배려석 _ 인형 배치 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190365,2021-06-08,2021,5.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190365,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-190302,"""삐빅, 임산부입니다"" 버스 이용 시 안내멘트 건의",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190302,2021-05-31,2021,53.0,17,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190302,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-190300,신혼부부 코로나 예방접종도 빠른일정에 넣어주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190300,2021-05-31,2021,2.0,1,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190300,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,신규추가7586_제목본문기준
PROP-190204,유기견들에게 예방접종을 해주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190204,2021-05-17,2021,6.0,1,N,미상,취약·다양가족 사각지대,위기임산부,위기임산부 보호,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=190204,직접관련,예방접종,상,확장 1차 생활키워드 수집,,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,신규추가7586_제목본문기준
PROP-189949,지하철 임산부석 문제,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189949,2021-04-22,2021,9.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189949,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-189719,신혼부부 임차보증금 지원사업 관련,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189719,2021-04-05,2021,12.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189719,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-189693,여성 배려석 원복 및 임산부 무료 택시 이용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189693,2021-04-01,2021,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189693,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-189694,여성 배려석 원복 및 임산부 무료 택시 이용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189694,2021-04-01,2021,2.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189694,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-189697,임산부뱃지비콘제작,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189697,2021-04-01,2021,63.0,8,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189697,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-189679,보건소 난소나이검사(AMH) 실리적인 기준 확대 요청의 건.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189679,2021-03-30,2021,22.0,1,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189679,직접관련,난소나이,상,확장 1차 생활키워드 수집,,임신·난임·생식건강,임신 준비·가임력 지원,가임력검사·난자냉동·예비부부검진,신규추가7586_제목본문기준
PROP-189621,임산부 대상 공영주차장 우선이용 혜택/할인이 생겼으면 좋겠어요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189621,2021-03-19,2021,12.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189621,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-189364,지하철 임산부 좌석 관련 문의 및 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189364,2021-02-01,2021,17.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189364,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-189234,임산부 재택근무,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189234,2021-01-04,2021,9.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189234,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-189190,서울시 신혼부부 임차보증금 지원 정책 개선 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189190,2020-12-25,2020,16.0,3,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189190,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-189143,임산부의 재택근무,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189143,2020-12-17,2020,4.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=189143,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-188888,키움센터 교사 채용,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188888,2020-11-23,2020,5.0,1,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188888,직접관련,키움센터,상,기존 1차 직접키워드 수집,,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,신규추가7586_제목본문기준
PROP-188816,지하철 임산부 배려석 핑크색 스티커,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188816,2020-11-13,2020,19.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188816,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-188674,지하철 이용중 임산부의 임산부 좌석  접근 및 승차 시 신호발송 장치기구의 설치를 제안합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188674,2020-10-28,2020,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188674,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-188671,교통시설 임산부 알림,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188671,2020-10-27,2020,1.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188671,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-188612,예식을 앞둔 신혼부부입니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188612,2020-10-17,2020,8.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188612,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-188607,임산부검사 다시 복구시켜주세요!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188607,2020-10-16,2020,9.0,3,N,미상,임신·난임·생식건강,난임 시술비·횟수·나이 제한,난임 시술 제한 완화,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188607,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-188412,임산부배려석에 대한 작은 생각,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188412,2020-09-09,2020,9.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188412,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-188337,임산부 알림,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188337,2020-08-31,2020,6.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=188337,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-187964,지하철 임산부석 폐지,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187964,2020-07-20,2020,6.0,4,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187964,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-187940,임산부 전용 교통카드 정책,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187940,2020-07-17,2020,0.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187940,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-187929,지하철 임산부석 폐지 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187929,2020-07-15,2020,5.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187929,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-187783,지하철 임산부석 실질이용률,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187783,2020-06-27,2020,1.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187783,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-187678,반려견 양육을 위한 공공교육,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187678,2020-06-15,2020,2.0,0,N,미상,다자녀·양육비·생활지원,생활비·공공요금·문화비,양육 생활비 부담 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187678,직접관련,양육,상,기존 1차 직접키워드 수집,,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,신규추가7586_제목본문기준
PROP-187673,실질적인 임산부 배려석 운영을 위한 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187673,2020-06-13,2020,4.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187673,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-187651,임산부 출퇴근 택시비 감면 복지(바우쳐카드 허용 등),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187651,2020-06-11,2020,6.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187651,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
